MM/DD/YYYY,ID,YEAR,MONTH,DAY,TSUN,TSUN_FLAGS,WSF5,WSF5_FLAGS,WSFM,WSFM_FLAGS,TMAX,TMAX_FLAGS,WSFG,WSFG_FLAGS,ACMH,ACMH_FLAGS,PRCP,PRCP_FLAGS,WT16,WT16_FLAGS,WSF2,WSF2_FLAGS,SNOW,SNOW_FLAGS,SNWD,SNWD_FLAGS,THIC,THIC_FLAGS,WDFM,WDFM_FLAGS,WT07,WT07_FLAGS,WDF1,WDF1_FLAGS,WT03,WT03_FLAGS,ACSH,ACSH_FLAGS,WT18,WT18_FLAGS,WDF2,WDF2_FLAGS,WT02,WT02_FLAGS,WT14,WT14_FLAGS,FRGT,FRGT_FLAGS,WT09,WT09_FLAGS,TAVG,TAVG_FLAGS,WV20,WV20_FLAGS,WDF5,WDF5_FLAGS,FMTM,FMTM_FLAGS,WT11,WT11_FLAGS,PGTM,PGTM_FLAGS,WT08,WT08_FLAGS,WT04,WT04_FLAGS,WESD,WESD_FLAGS,WT05,WT05_FLAGS,WDFG,WDFG_FLAGS,WT13,WT13_FLAGS,WT21,WT21_FLAGS,AWND,AWND_FLAGS,WT10,WT10_FLAGS,WT01,WT01_FLAGS,WSF1,WSF1_FLAGS,WV03,WV03_FLAGS,TMIN,TMIN_FLAGS,WV01,WV01_FLAGS
2000-05-25,USW00023234,2000,05,25,0.0,__W,215.0,__X,nan,nan,183.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,183.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,150.0,__W,nan,nan,260.0,__X,1855.0,__X,nan,nan,1855.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,116.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,117.0,__0,nan,nan
2000-05-26,USW00023234,2000,05,26,0.0,__W,179.0,__X,nan,nan,178.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,156.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,150.0,__W,nan,nan,250.0,__X,207.0,__X,nan,nan,231.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,84.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,117.0,__0,nan,nan
2000-05-27,USW00023234,2000,05,27,0.0,__W,148.0,__X,nan,nan,200.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,130.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,161.0,__W,nan,nan,260.0,__X,1237.0,__X,nan,nan,1220.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,71.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,122.0,__0,nan,nan
2000-05-28,USW00023234,2000,05,28,0.0,__W,165.0,__X,nan,nan,200.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,139.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,161.0,__W,nan,nan,250.0,__X,2124.0,__X,nan,nan,1801.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,90.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,117.0,__0,nan,nan
2000-05-29,USW00023234,2000,05,29,0.0,__W,197.0,__X,nan,nan,172.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,161.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,139.0,__W,nan,nan,250.0,__X,1834.0,__X,nan,nan,1815.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,108.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,106.0,__0,nan,nan
2000-06-11,USW00023234,2000,06,11,0.0,__W,170.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,143.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,150.0,__W,nan,nan,270.0,__X,1849.0,__X,nan,nan,1848.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,81.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,106.0,__0,nan,nan
2000-06-12,USW00023234,2000,06,12,0.0,__W,165.0,__X,nan,nan,217.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,148.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,172.0,__W,nan,nan,260.0,__X,1810.0,__X,nan,nan,2010.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,81.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,128.0,__0,nan,nan
2000-06-13,USW00023234,2000,06,13,0.0,__W,103.0,__X,nan,nan,333.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,94.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,233.0,__W,nan,nan,270.0,__X,1759.0,__X,nan,nan,1738.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,31.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,133.0,__0,nan,nan
2000-06-14,USW00023234,2000,06,14,0.0,__W,107.0,__X,nan,nan,406.0,_O0,nan,nan,nan,nan,0.0,__0,nan,nan,98.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,300.0,__W,nan,nan,260.0,__X,1844.0,__X,nan,nan,1843.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,34.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,194.0,__0,nan,nan
2000-06-15,USW00023234,2000,06,15,0.0,__W,89.0,__X,nan,nan,261.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,76.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,200.0,__W,nan,nan,270.0,__X,2139.0,__X,nan,nan,2112.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,42.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,139.0,__0,nan,nan
2000-07-13,USW00023234,2000,07,13,0.0,__W,116.0,__X,nan,nan,206.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,103.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,172.0,__W,nan,nan,270.0,__X,1716.0,__X,nan,nan,1713.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,55.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,133.0,__0,nan,nan
2000-07-14,USW00023234,2000,07,14,0.0,__W,134.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,125.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,161.0,__W,nan,nan,260.0,__X,1413.0,__X,nan,nan,1533.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,51.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,122.0,__0,nan,nan
2000-07-15,USW00023234,2000,07,15,0.0,__W,125.0,__X,nan,nan,189.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,107.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,156.0,__W,nan,nan,270.0,__X,1324.0,__X,nan,nan,1323.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,56.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,122.0,__0,nan,nan
2000-07-30,USW00023234,2000,07,30,0.0,__W,130.0,__X,nan,nan,217.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,116.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,172.0,__W,nan,nan,280.0,__X,1641.0,__X,nan,nan,1642.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,59.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,122.0,__0,nan,nan
2000-08-06,USW00023234,2000,08,6,0.0,__W,134.0,__X,nan,nan,183.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,116.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,240.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,156.0,__W,nan,nan,250.0,__X,1603.0,__X,nan,nan,1810.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,64.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,128.0,__0,nan,nan
2000-08-07,USW00023234,2000,08,7,0.0,__W,107.0,__X,nan,nan,183.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,89.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,161.0,__W,nan,nan,270.0,__X,1532.0,__X,nan,nan,1532.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,59.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,133.0,__0,nan,nan
2000-08-08,USW00023234,2000,08,8,0.0,__W,112.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,98.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,167.0,__W,nan,nan,270.0,__X,1552.0,__X,nan,nan,1529.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,53.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,139.0,__0,nan,nan
2000-09-05,USW00023234,2000,09,5,0.0,__W,130.0,__X,nan,nan,244.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,112.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,178.0,__W,nan,nan,260.0,__X,1755.0,__X,nan,nan,1808.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,39.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,106.0,__0,nan,nan
2000-09-20,USW00023234,2000,09,20,0.0,__W,94.0,__X,nan,nan,261.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,76.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,170.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,217.0,__W,nan,nan,170.0,__X,2350.0,__X,nan,nan,2349.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,29.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,172.0,__0,nan,nan
2000-09-21,USW00023234,2000,09,21,0.0,__W,148.0,__X,nan,nan,228.0,__0,nan,nan,nan,nan,0.0,T_0,1.0,__0,125.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,190.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,200.0,__W,nan,nan,190.0,__X,1438.0,__X,nan,nan,942.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,72.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,167.0,__0,nan,nan
2000-09-22,USW00023234,2000,09,22,0.0,__W,94.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,T_0,1.0,__0,67.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,167.0,__W,nan,nan,220.0,__X,1423.0,__X,nan,nan,1358.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,35.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,139.0,__0,nan,nan
2000-09-23,USW00023234,2000,09,23,0.0,__W,107.0,__X,nan,nan,239.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,94.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,183.0,__W,nan,nan,270.0,__X,1702.0,__X,nan,nan,1603.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,42.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,128.0,__0,nan,nan
2000-09-24,USW00023234,2000,09,24,0.0,__W,116.0,__X,nan,nan,233.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,107.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,270.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,178.0,__W,nan,nan,260.0,__X,1732.0,__X,nan,nan,1735.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,46.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,122.0,__0,1.0,__X
2000-10-01,USW00023234,2000,10,1,0.0,__W,125.0,__X,nan,nan,239.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,107.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,290.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,189.0,__W,nan,nan,280.0,__X,1540.0,__X,nan,nan,1555.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,37.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,139.0,__0,nan,nan
2000-10-02,USW00023234,2000,10,2,0.0,__W,103.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,89.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,161.0,__W,nan,nan,250.0,__X,1245.0,__X,nan,nan,1343.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,44.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,128.0,__0,nan,nan
2000-10-03,USW00023234,2000,10,3,0.0,__W,107.0,__X,nan,nan,200.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,98.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,156.0,__W,nan,nan,280.0,__X,1455.0,__X,nan,nan,1516.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,38.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,111.0,__0,nan,nan
2000-10-04,USW00023234,2000,10,4,0.0,__W,89.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,76.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,161.0,__W,nan,nan,210.0,__X,1651.0,__X,nan,nan,1713.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,37.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,128.0,__0,nan,nan
2000-10-05,USW00023234,2000,10,5,0.0,__W,116.0,__X,nan,nan,183.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,98.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,156.0,__W,nan,nan,280.0,__X,1538.0,__X,nan,nan,1642.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,43.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,122.0,__0,nan,nan
2000-10-06,USW00023234,2000,10,6,0.0,__W,112.0,__X,nan,nan,183.0,__0,nan,nan,nan,nan,0.0,T_0,1.0,__0,94.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,210.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,150.0,__W,nan,nan,200.0,__X,1713.0,__X,nan,nan,1712.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,46.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,117.0,__0,nan,nan
2000-10-07,USW00023234,2000,10,7,0.0,__W,107.0,__X,nan,nan,200.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,94.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,167.0,__W,nan,nan,260.0,__X,1708.0,__X,nan,nan,1707.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,39.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,128.0,__0,nan,nan
2000-10-08,USW00023234,2000,10,8,0.0,__W,143.0,__X,nan,nan,194.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,130.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,156.0,__W,nan,nan,260.0,__X,1342.0,__X,nan,nan,1350.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,51.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,117.0,__0,nan,nan
2000-10-09,USW00023234,2000,10,9,0.0,__W,98.0,__X,nan,nan,189.0,__0,nan,nan,nan,nan,3.0,__0,1.0,__0,76.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,167.0,__W,nan,nan,250.0,__X,2235.0,__X,nan,nan,2225.0,__W,nan,nan,nan,nan,0.0,__0,nan,nan,nan,nan,1.0,__X,nan,nan,44.0,__X,nan,nan,1.0,__0,nan,nan,nan,nan,144.0,__0,nan,nan
2000-10-16,USW00023234,2000,10,16,0.0,__W,103.0,__X,nan,nan,244.0,__0,nan,nan,nan,nan,0.0,__0,nan,nan,94.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,260.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,172.0,__W,nan,nan,260.0,__X,1636.0,__X,nan,nan,1618.0,__W,1.0,__0,nan,nan,0.0,__0,nan,nan,nan,nan,nan,nan,nan,nan,26.0,__X,nan,nan,nan,nan,nan,nan,nan,nan,100.0,__0,nan,nan
