MM/DD/YYYY,ID,YEAR,MONTH,DAY,SNOW,SNOW_FLAGS,PRCP,PRCP_FLAGS
2009-07-15,US1CASM0008,2009,07,15,0.0,__N,0.0,__N
2009-07-16,US1CASM0008,2009,07,16,0.0,__N,0.0,__N
2009-07-17,US1CASM0008,2009,07,17,0.0,__N,0.0,__N
2009-07-18,US1CASM0008,2009,07,18,0.0,__N,0.0,__N
2009-07-19,US1CASM0008,2009,07,19,0.0,__N,0.0,__N
2009-07-20,US1CASM0008,2009,07,20,0.0,__N,0.0,__N
2009-07-21,US1CASM0008,2009,07,21,0.0,__N,0.0,__N
2009-07-22,US1CASM0008,2009,07,22,0.0,__N,0.0,__N
2009-07-23,US1CASM0008,2009,07,23,0.0,__N,0.0,__N
2009-07-24,US1CASM0008,2009,07,24,0.0,__N,0.0,__N
2009-07-25,US1CASM0008,2009,07,25,0.0,__N,0.0,__N
2009-07-26,US1CASM0008,2009,07,26,0.0,__N,0.0,__N
2009-07-27,US1CASM0008,2009,07,27,0.0,__N,0.0,__N
2009-07-28,US1CASM0008,2009,07,28,0.0,__N,0.0,__N
2009-07-29,US1CASM0008,2009,07,29,0.0,__N,0.0,__N
2009-07-30,US1CASM0008,2009,07,30,0.0,__N,0.0,__N
2009-07-31,US1CASM0008,2009,07,31,0.0,__N,0.0,__N
2009-08-01,US1CASM0008,2009,08,1,0.0,__N,0.0,__N
2009-08-02,US1CASM0008,2009,08,2,0.0,__N,0.0,__N
2009-08-03,US1CASM0008,2009,08,3,0.0,__N,0.0,__N
2009-08-04,US1CASM0008,2009,08,4,0.0,__N,0.0,__N
2009-08-05,US1CASM0008,2009,08,5,0.0,__N,0.0,__N
2009-08-06,US1CASM0008,2009,08,6,0.0,__N,0.0,__N
2009-08-07,US1CASM0008,2009,08,7,0.0,__N,0.0,__N
2009-08-08,US1CASM0008,2009,08,8,0.0,__N,0.0,__N
2009-08-09,US1CASM0008,2009,08,9,0.0,__N,0.0,__N
2009-08-10,US1CASM0008,2009,08,10,0.0,__N,0.0,__N
2009-08-11,US1CASM0008,2009,08,11,0.0,__N,0.0,__N
2009-08-12,US1CASM0008,2009,08,12,0.0,__N,0.0,__N
2009-08-13,US1CASM0008,2009,08,13,0.0,__N,0.0,__N
2009-08-14,US1CASM0008,2009,08,14,0.0,__N,0.0,__N
2009-08-15,US1CASM0008,2009,08,15,0.0,__N,0.0,__N
2009-08-16,US1CASM0008,2009,08,16,0.0,__N,0.0,__N
2009-08-17,US1CASM0008,2009,08,17,0.0,__N,0.0,__N
2009-08-18,US1CASM0008,2009,08,18,0.0,__N,0.0,__N
2009-08-19,US1CASM0008,2009,08,19,0.0,__N,0.0,__N
2009-08-20,US1CASM0008,2009,08,20,0.0,__N,0.0,__N
2009-08-21,US1CASM0008,2009,08,21,0.0,__N,0.0,__N
2009-08-22,US1CASM0008,2009,08,22,0.0,__N,0.0,__N
2009-08-23,US1CASM0008,2009,08,23,0.0,__N,0.0,__N
2009-08-24,US1CASM0008,2009,08,24,0.0,__N,0.0,__N
2009-08-25,US1CASM0008,2009,08,25,0.0,__N,0.0,__N
2009-08-26,US1CASM0008,2009,08,26,0.0,__N,0.0,__N
2009-08-27,US1CASM0008,2009,08,27,0.0,__N,0.0,__N
2009-08-28,US1CASM0008,2009,08,28,0.0,__N,0.0,__N
2009-08-29,US1CASM0008,2009,08,29,0.0,__N,0.0,__N
2009-08-30,US1CASM0008,2009,08,30,0.0,__N,0.0,__N
2009-09-15,US1CASM0008,2009,09,15,0.0,__N,0.0,__N
2009-09-16,US1CASM0008,2009,09,16,0.0,__N,0.0,__N
2009-09-17,US1CASM0008,2009,09,17,0.0,__N,0.0,__N
2009-09-18,US1CASM0008,2009,09,18,0.0,__N,0.0,__N
2009-09-19,US1CASM0008,2009,09,19,0.0,__N,0.0,__N
2009-09-20,US1CASM0008,2009,09,20,0.0,__N,0.0,__N
2009-09-21,US1CASM0008,2009,09,21,0.0,__N,0.0,__N
2009-09-22,US1CASM0008,2009,09,22,0.0,__N,0.0,__N
2009-09-23,US1CASM0008,2009,09,23,0.0,__N,0.0,__N
2009-09-24,US1CASM0008,2009,09,24,0.0,__N,0.0,__N
2009-09-25,US1CASM0008,2009,09,25,0.0,__N,0.0,__N
2009-09-26,US1CASM0008,2009,09,26,0.0,__N,0.0,__N
2009-09-27,US1CASM0008,2009,09,27,0.0,__N,0.0,__N
2009-09-28,US1CASM0008,2009,09,28,0.0,__N,0.0,__N
2009-09-29,US1CASM0008,2009,09,29,0.0,__N,0.0,__N
2009-09-30,US1CASM0008,2009,09,30,0.0,__N,0.0,__N
2009-10-01,US1CASM0008,2009,10,1,0.0,__N,0.0,__N
2009-10-02,US1CASM0008,2009,10,2,0.0,__N,0.0,__N
2009-10-03,US1CASM0008,2009,10,3,0.0,__N,0.0,__N
2009-10-04,US1CASM0008,2009,10,4,0.0,__N,0.0,__N
2009-10-05,US1CASM0008,2009,10,5,0.0,__N,0.0,__N
2009-10-06,US1CASM0008,2009,10,6,0.0,__N,0.0,__N
2009-10-07,US1CASM0008,2009,10,7,0.0,__N,0.0,__N
2009-10-08,US1CASM0008,2009,10,8,0.0,__N,0.0,__N
2009-10-09,US1CASM0008,2009,10,9,0.0,__N,0.0,__N
2009-10-10,US1CASM0008,2009,10,10,0.0,__N,0.0,__N
2009-10-11,US1CASM0008,2009,10,11,0.0,__N,0.0,__N
2009-10-12,US1CASM0008,2009,10,12,0.0,__N,0.0,__N
2009-10-16,US1CASM0008,2009,10,16,0.0,__N,0.0,__N
2009-10-17,US1CASM0008,2009,10,17,0.0,__N,0.0,__N
2009-10-19,US1CASM0008,2009,10,19,0.0,__N,0.0,__N
2009-10-30,US1CASM0008,2009,10,30,0.0,__N,0.0,__N
2009-10-31,US1CASM0008,2009,10,31,0.0,__N,0.0,__N
2009-11-01,US1CASM0008,2009,11,1,0.0,__N,0.0,__N
2009-11-02,US1CASM0008,2009,11,2,0.0,__N,0.0,__N
2009-11-03,US1CASM0008,2009,11,3,0.0,__N,0.0,__N
2009-11-04,US1CASM0008,2009,11,4,0.0,__N,0.0,__N
2009-12-01,US1CASM0008,2009,12,1,0.0,__N,0.0,__N
2009-12-02,US1CASM0008,2009,12,2,0.0,__N,0.0,__N
2009-12-03,US1CASM0008,2009,12,3,0.0,__N,0.0,__N
2009-12-04,US1CASM0008,2009,12,4,0.0,__N,0.0,__N
2009-12-05,US1CASM0008,2009,12,5,0.0,__N,0.0,__N
2009-12-06,US1CASM0008,2009,12,6,0.0,__N,0.0,__N
2009-12-08,US1CASM0008,2009,12,8,0.0,__N,0.0,__N
2009-12-09,US1CASM0008,2009,12,9,0.0,__N,0.0,__N
2009-12-10,US1CASM0008,2009,12,10,0.0,__N,0.0,__N
2009-12-31,US1CASM0008,2009,12,31,0.0,__N,0.0,__N
2010-01-01,US1CASM0008,2010,01,1,0.0,__N,0.0,__N
2010-01-02,US1CASM0008,2010,01,2,0.0,__N,0.0,__N
2010-01-03,US1CASM0008,2010,01,3,0.0,__N,0.0,__N
2010-01-04,US1CASM0008,2010,01,4,0.0,__N,0.0,__N
2010-01-05,US1CASM0008,2010,01,5,0.0,__N,0.0,__N
2010-01-06,US1CASM0008,2010,01,6,0.0,__N,0.0,__N
2010-01-07,US1CASM0008,2010,01,7,0.0,__N,0.0,__N
2010-01-08,US1CASM0008,2010,01,8,0.0,__N,0.0,__N
2010-01-09,US1CASM0008,2010,01,9,0.0,__N,0.0,__N
2010-01-10,US1CASM0008,2010,01,10,0.0,__N,0.0,__N
2010-01-11,US1CASM0008,2010,01,11,0.0,__N,0.0,__N
2010-01-15,US1CASM0008,2010,01,15,0.0,__N,0.0,__N
2010-01-16,US1CASM0008,2010,01,16,0.0,__N,0.0,__N
2010-01-28,US1CASM0008,2010,01,28,0.0,__N,0.0,__N
2010-01-31,US1CASM0008,2010,01,31,0.0,__N,0.0,__N
2010-02-01,US1CASM0008,2010,02,1,0.0,__N,0.0,__N
2010-02-02,US1CASM0008,2010,02,2,0.0,__N,0.0,__N
2010-02-03,US1CASM0008,2010,02,3,0.0,__N,0.0,__N
2010-02-04,US1CASM0008,2010,02,4,0.0,__N,0.0,__N
2010-02-23,US1CASM0008,2010,02,23,0.0,__N,0.0,__N
2010-02-26,US1CASM0008,2010,02,26,0.0,__N,0.0,__N
2010-03-07,US1CASM0008,2010,03,7,0.0,__N,0.0,__N
2010-03-08,US1CASM0008,2010,03,8,0.0,__N,0.0,__N
2010-03-12,US1CASM0008,2010,03,12,0.0,__N,0.0,__N
2010-03-14,US1CASM0008,2010,03,14,0.0,__N,0.0,__N
2010-03-15,US1CASM0008,2010,03,15,0.0,__N,0.0,__N
2010-03-16,US1CASM0008,2010,03,16,0.0,__N,0.0,__N
2010-03-17,US1CASM0008,2010,03,17,0.0,__N,0.0,__N
2010-03-18,US1CASM0008,2010,03,18,0.0,__N,0.0,__N
2010-03-19,US1CASM0008,2010,03,19,0.0,__N,0.0,__N
2010-03-20,US1CASM0008,2010,03,20,0.0,__N,0.0,__N
2010-03-21,US1CASM0008,2010,03,21,0.0,__N,0.0,__N
2010-03-22,US1CASM0008,2010,03,22,0.0,__N,0.0,__N
2010-03-23,US1CASM0008,2010,03,23,0.0,__N,0.0,__N
2010-03-24,US1CASM0008,2010,03,24,0.0,__N,0.0,__N
2010-03-26,US1CASM0008,2010,03,26,0.0,__N,0.0,__N
2010-03-27,US1CASM0008,2010,03,27,0.0,__N,0.0,__N
2010-03-28,US1CASM0008,2010,03,28,0.0,__N,0.0,__N
2010-03-29,US1CASM0008,2010,03,29,0.0,__N,0.0,__N
2010-04-06,US1CASM0008,2010,04,6,0.0,__N,0.0,__N
2010-04-10,US1CASM0008,2010,04,10,0.0,__N,0.0,__N
2010-04-11,US1CASM0008,2010,04,11,0.0,__N,0.0,__N
2010-04-14,US1CASM0008,2010,04,14,0.0,__N,0.0,__N
2010-04-15,US1CASM0008,2010,04,15,0.0,__N,0.0,__N
2010-04-16,US1CASM0008,2010,04,16,0.0,__N,0.0,__N
2010-04-17,US1CASM0008,2010,04,17,0.0,__N,0.0,__N
2010-04-18,US1CASM0008,2010,04,18,0.0,__N,0.0,__N
2010-04-19,US1CASM0008,2010,04,19,0.0,__N,0.0,__N
2010-04-23,US1CASM0008,2010,04,23,0.0,__N,0.0,__N
2010-04-24,US1CASM0008,2010,04,24,0.0,__N,0.0,__N
2010-04-25,US1CASM0008,2010,04,25,0.0,__N,0.0,__N
2010-04-26,US1CASM0008,2010,04,26,0.0,__N,0.0,__N
2010-04-30,US1CASM0008,2010,04,30,0.0,__N,0.0,__N
2010-05-01,US1CASM0008,2010,05,1,0.0,__N,0.0,__N
2010-05-02,US1CASM0008,2010,05,2,0.0,__N,0.0,__N
2010-05-03,US1CASM0008,2010,05,3,0.0,__N,0.0,__N
2010-05-04,US1CASM0008,2010,05,4,0.0,__N,0.0,__N
2010-05-05,US1CASM0008,2010,05,5,0.0,__N,0.0,__N
2010-05-07,US1CASM0008,2010,05,7,0.0,__N,0.0,__N
2010-05-08,US1CASM0008,2010,05,8,0.0,__N,0.0,__N
2010-05-12,US1CASM0008,2010,05,12,0.0,__N,0.0,__N
2010-05-13,US1CASM0008,2010,05,13,0.0,__N,0.0,__N
2010-05-14,US1CASM0008,2010,05,14,0.0,__N,0.0,__N
2010-05-15,US1CASM0008,2010,05,15,0.0,__N,0.0,__N
2010-05-16,US1CASM0008,2010,05,16,0.0,__N,0.0,__N
2010-05-17,US1CASM0008,2010,05,17,0.0,__N,0.0,__N
2010-05-19,US1CASM0008,2010,05,19,0.0,__N,0.0,__N
2010-05-20,US1CASM0008,2010,05,20,0.0,__N,0.0,__N
2010-05-21,US1CASM0008,2010,05,21,0.0,__N,0.0,__N
2010-05-22,US1CASM0008,2010,05,22,0.0,__N,0.0,__N
2010-05-23,US1CASM0008,2010,05,23,0.0,__N,0.0,__N
2010-05-24,US1CASM0008,2010,05,24,0.0,__N,0.0,__N
2010-05-25,US1CASM0008,2010,05,25,0.0,__N,0.0,__N
2010-05-28,US1CASM0008,2010,05,28,0.0,__N,0.0,__N
2010-05-29,US1CASM0008,2010,05,29,0.0,__N,0.0,__N
2010-05-30,US1CASM0008,2010,05,30,0.0,__N,0.0,__N
2010-05-31,US1CASM0008,2010,05,31,0.0,__N,0.0,__N
2010-06-01,US1CASM0008,2010,06,1,0.0,__N,0.0,__N
2010-06-02,US1CASM0008,2010,06,2,0.0,__N,0.0,__N
2010-06-03,US1CASM0008,2010,06,3,0.0,__N,0.0,__N
2010-06-04,US1CASM0008,2010,06,4,0.0,__N,0.0,__N
2010-06-05,US1CASM0008,2010,06,5,0.0,__N,0.0,__N
2010-06-06,US1CASM0008,2010,06,6,0.0,__N,0.0,__N
2010-06-07,US1CASM0008,2010,06,7,0.0,__N,0.0,__N
2010-06-08,US1CASM0008,2010,06,8,0.0,__N,0.0,__N
2010-06-09,US1CASM0008,2010,06,9,0.0,__N,0.0,__N
2010-06-10,US1CASM0008,2010,06,10,0.0,__N,0.0,__N
2010-06-11,US1CASM0008,2010,06,11,0.0,__N,0.0,__N
2010-06-12,US1CASM0008,2010,06,12,0.0,__N,0.0,__N
2010-06-13,US1CASM0008,2010,06,13,0.0,__N,0.0,__N
2010-06-14,US1CASM0008,2010,06,14,0.0,__N,0.0,__N
2010-06-15,US1CASM0008,2010,06,15,0.0,__N,0.0,__N
2010-06-16,US1CASM0008,2010,06,16,0.0,__N,0.0,__N
2010-06-17,US1CASM0008,2010,06,17,0.0,__N,0.0,__N
2010-06-18,US1CASM0008,2010,06,18,0.0,__N,0.0,__N
2010-06-19,US1CASM0008,2010,06,19,0.0,__N,0.0,__N
2010-06-20,US1CASM0008,2010,06,20,0.0,__N,0.0,__N
2010-06-21,US1CASM0008,2010,06,21,0.0,__N,0.0,__N
2010-06-22,US1CASM0008,2010,06,22,0.0,__N,0.0,__N
2010-06-23,US1CASM0008,2010,06,23,0.0,__N,0.0,__N
2010-06-24,US1CASM0008,2010,06,24,0.0,__N,0.0,__N
2010-06-25,US1CASM0008,2010,06,25,0.0,__N,0.0,__N
2010-06-26,US1CASM0008,2010,06,26,0.0,__N,0.0,__N
2010-06-27,US1CASM0008,2010,06,27,0.0,__N,0.0,__N
2010-06-28,US1CASM0008,2010,06,28,0.0,__N,0.0,__N
2010-06-29,US1CASM0008,2010,06,29,0.0,__N,0.0,__N
2010-06-30,US1CASM0008,2010,06,30,0.0,__N,0.0,__N
2010-07-01,US1CASM0008,2010,07,1,0.0,__N,0.0,__N
2010-07-02,US1CASM0008,2010,07,2,0.0,__N,0.0,__N
2010-07-03,US1CASM0008,2010,07,3,0.0,__N,0.0,__N
2010-07-04,US1CASM0008,2010,07,4,0.0,__N,0.0,__N
2010-07-05,US1CASM0008,2010,07,5,0.0,__N,0.0,__N
2010-07-06,US1CASM0008,2010,07,6,0.0,__N,0.0,__N
2010-07-07,US1CASM0008,2010,07,7,0.0,__N,0.0,__N
2010-07-08,US1CASM0008,2010,07,8,0.0,__N,0.0,__N
2010-07-09,US1CASM0008,2010,07,9,0.0,__N,0.0,__N
2010-07-10,US1CASM0008,2010,07,10,0.0,__N,0.0,__N
2010-07-11,US1CASM0008,2010,07,11,0.0,__N,0.0,__N
2010-07-12,US1CASM0008,2010,07,12,0.0,__N,0.0,__N
2010-07-13,US1CASM0008,2010,07,13,0.0,__N,0.0,__N
2010-07-14,US1CASM0008,2010,07,14,0.0,__N,0.0,__N
2010-07-15,US1CASM0008,2010,07,15,0.0,__N,0.0,__N
2010-07-16,US1CASM0008,2010,07,16,0.0,__N,0.0,__N
2010-07-17,US1CASM0008,2010,07,17,0.0,__N,0.0,__N
2010-07-18,US1CASM0008,2010,07,18,0.0,__N,0.0,__N
2010-07-19,US1CASM0008,2010,07,19,0.0,__N,0.0,__N
2010-07-20,US1CASM0008,2010,07,20,0.0,__N,0.0,__N
2010-07-21,US1CASM0008,2010,07,21,0.0,__N,0.0,__N
2010-07-22,US1CASM0008,2010,07,22,0.0,__N,0.0,__N
2010-07-23,US1CASM0008,2010,07,23,0.0,__N,0.0,__N
2010-07-24,US1CASM0008,2010,07,24,0.0,__N,0.0,__N
2010-07-25,US1CASM0008,2010,07,25,0.0,__N,0.0,__N
2010-07-26,US1CASM0008,2010,07,26,0.0,__N,0.0,__N
2010-07-27,US1CASM0008,2010,07,27,0.0,__N,0.0,__N
2010-07-28,US1CASM0008,2010,07,28,0.0,__N,0.0,__N
2010-07-29,US1CASM0008,2010,07,29,0.0,__N,0.0,__N
2010-07-30,US1CASM0008,2010,07,30,0.0,__N,0.0,__N
2010-07-31,US1CASM0008,2010,07,31,0.0,__N,0.0,__N
2010-09-01,US1CASM0008,2010,09,1,0.0,__N,0.0,__N
2010-09-02,US1CASM0008,2010,09,2,0.0,__N,0.0,__N
2010-09-03,US1CASM0008,2010,09,3,0.0,__N,0.0,__N
2010-09-04,US1CASM0008,2010,09,4,0.0,__N,0.0,__N
2010-09-05,US1CASM0008,2010,09,5,0.0,__N,0.0,__N
2010-09-06,US1CASM0008,2010,09,6,0.0,__N,0.0,__N
2010-09-07,US1CASM0008,2010,09,7,0.0,__N,0.0,__N
2010-09-08,US1CASM0008,2010,09,8,0.0,__N,0.0,__N
2010-09-09,US1CASM0008,2010,09,9,0.0,__N,0.0,__N
2010-09-10,US1CASM0008,2010,09,10,0.0,__N,0.0,__N
2010-09-11,US1CASM0008,2010,09,11,0.0,__N,0.0,__N
2010-09-12,US1CASM0008,2010,09,12,0.0,__N,0.0,__N
2010-09-13,US1CASM0008,2010,09,13,0.0,__N,0.0,__N
2010-09-14,US1CASM0008,2010,09,14,0.0,__N,0.0,__N
2010-09-15,US1CASM0008,2010,09,15,0.0,__N,0.0,__N
2010-09-16,US1CASM0008,2010,09,16,0.0,__N,0.0,__N
2010-09-17,US1CASM0008,2010,09,17,0.0,__N,0.0,__N
2010-09-18,US1CASM0008,2010,09,18,0.0,__N,0.0,__N
2010-09-19,US1CASM0008,2010,09,19,0.0,__N,0.0,__N
2010-09-20,US1CASM0008,2010,09,20,0.0,__N,0.0,__N
2010-09-21,US1CASM0008,2010,09,21,0.0,__N,0.0,__N
2010-09-22,US1CASM0008,2010,09,22,0.0,__N,0.0,__N
2010-09-23,US1CASM0008,2010,09,23,0.0,__N,0.0,__N
2010-09-24,US1CASM0008,2010,09,24,0.0,__N,0.0,__N
2010-09-25,US1CASM0008,2010,09,25,0.0,__N,0.0,__N
2010-09-26,US1CASM0008,2010,09,26,0.0,__N,0.0,__N
2010-09-27,US1CASM0008,2010,09,27,0.0,__N,0.0,__N
2010-09-28,US1CASM0008,2010,09,28,0.0,__N,0.0,__N
2010-09-29,US1CASM0008,2010,09,29,0.0,__N,0.0,__N
2010-09-30,US1CASM0008,2010,09,30,0.0,__N,0.0,__N
2010-10-01,US1CASM0008,2010,10,1,0.0,__N,0.0,__N
2010-10-02,US1CASM0008,2010,10,2,0.0,__N,0.0,__N
2010-10-03,US1CASM0008,2010,10,3,0.0,__N,0.0,__N
2010-10-04,US1CASM0008,2010,10,4,0.0,__N,0.0,__N
2010-10-05,US1CASM0008,2010,10,5,0.0,__N,0.0,__N
2010-10-06,US1CASM0008,2010,10,6,0.0,__N,0.0,__N
2010-10-07,US1CASM0008,2010,10,7,0.0,__N,0.0,__N
2010-10-08,US1CASM0008,2010,10,8,0.0,__N,0.0,__N
2010-10-09,US1CASM0008,2010,10,9,0.0,__N,0.0,__N
2010-10-10,US1CASM0008,2010,10,10,0.0,__N,0.0,__N
2010-10-11,US1CASM0008,2010,10,11,0.0,__N,0.0,__N
2010-10-12,US1CASM0008,2010,10,12,0.0,__N,0.0,__N
2010-10-13,US1CASM0008,2010,10,13,0.0,__N,0.0,__N
2010-10-14,US1CASM0008,2010,10,14,0.0,__N,0.0,__N
2010-10-15,US1CASM0008,2010,10,15,0.0,__N,0.0,__N
2010-10-16,US1CASM0008,2010,10,16,0.0,__N,0.0,__N
2010-10-17,US1CASM0008,2010,10,17,0.0,__N,0.0,__N
2010-10-19,US1CASM0008,2010,10,19,0.0,__N,0.0,__N
2010-10-20,US1CASM0008,2010,10,20,0.0,__N,0.0,__N
2010-10-21,US1CASM0008,2010,10,21,0.0,__N,0.0,__N
2010-10-26,US1CASM0008,2010,10,26,0.0,__N,0.0,__N
2010-10-27,US1CASM0008,2010,10,27,0.0,__N,0.0,__N
2010-10-28,US1CASM0008,2010,10,28,0.0,__N,0.0,__N
2010-10-31,US1CASM0008,2010,10,31,0.0,__N,0.0,__N
2010-11-01,US1CASM0008,2010,11,1,0.0,__N,0.0,__N
2010-11-02,US1CASM0008,2010,11,2,0.0,__N,0.0,__N
2010-11-03,US1CASM0008,2010,11,3,0.0,__N,0.0,__N
2010-11-04,US1CASM0008,2010,11,4,0.0,__N,0.0,__N
2010-11-05,US1CASM0008,2010,11,5,0.0,__N,0.0,__N
2010-11-06,US1CASM0008,2010,11,6,0.0,__N,0.0,__N
2010-11-08,US1CASM0008,2010,11,8,0.0,__N,0.0,__N
2010-11-09,US1CASM0008,2010,11,9,0.0,__N,0.0,__N
2010-11-11,US1CASM0008,2010,11,11,0.0,__N,0.0,__N
2010-11-12,US1CASM0008,2010,11,12,0.0,__N,0.0,__N
2010-11-13,US1CASM0008,2010,11,13,0.0,__N,0.0,__N
2010-11-14,US1CASM0008,2010,11,14,0.0,__N,0.0,__N
2010-11-15,US1CASM0008,2010,11,15,0.0,__N,0.0,__N
2010-11-16,US1CASM0008,2010,11,16,0.0,__N,0.0,__N
2010-11-17,US1CASM0008,2010,11,17,0.0,__N,0.0,__N
2010-11-18,US1CASM0008,2010,11,18,0.0,__N,0.0,__N
2010-11-19,US1CASM0008,2010,11,19,0.0,__N,0.0,__N
2010-11-22,US1CASM0008,2010,11,22,0.0,__N,0.0,__N
2010-11-25,US1CASM0008,2010,11,25,0.0,__N,0.0,__N
2010-11-26,US1CASM0008,2010,11,26,0.0,__N,0.0,__N
2010-11-29,US1CASM0008,2010,11,29,0.0,__N,0.0,__N
2010-11-30,US1CASM0008,2010,11,30,0.0,__N,0.0,__N
2010-12-01,US1CASM0008,2010,12,1,0.0,__N,0.0,__N
2010-12-02,US1CASM0008,2010,12,2,0.0,__N,0.0,__N
2010-12-04,US1CASM0008,2010,12,4,0.0,__N,0.0,__N
2010-12-07,US1CASM0008,2010,12,7,0.0,__N,0.0,__N
2010-12-10,US1CASM0008,2010,12,10,0.0,__N,0.0,__N
2010-12-11,US1CASM0008,2010,12,11,0.0,__N,0.0,__N
