Location,Count Date,Day,24 Hr. Total Vol.,location1
GLENGARRY AVENUE N/O MINES BOULEVARD,01/31/2017 12:00:00 AM,Tue,1659,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/31/2017 12:00:00 AM,Tue,2165,
HUBBARD STREET E/O LA VERNE AVENUE,01/31/2017 12:00:00 AM,Tue,4905,
MINES BOULEVARD E/O GLENGARRY AVENUE,01/31/2017 12:00:00 AM,Tue,11015,
IMPERIAL HIGHWAY W/O TIGRINA AVENUE,01/31/2017 12:00:00 AM,Tue,24379,
SHADYBEND DRIVE E/O STIMSON AVENUE,02/01/2017 12:00:00 AM,Wed,700,
NEWTON STREET E/O LAS LOMITAS DRIVE,02/01/2017 12:00:00 AM,Wed,3225,
LAS LOMITAS DRIVE N/O NEWTON STREET,02/01/2017 12:00:00 AM,Wed,4430,
PEPPER BROOK WAY W/O WEDGEWORTH DRIVE,02/01/2017 12:00:00 AM,Wed,8531,
STIMSON AVENUE S/O SHADYBEND DRIVE,02/01/2017 12:00:00 AM,Wed,19663,
HAMBLEDON AVENUE N/O GEMINI STREET,02/02/2017 12:00:00 AM,Thu,746,
CANTARIA AVENUE S/O FARJARDO STREET,02/02/2017 12:00:00 AM,Thu,800,
BATSON AVENUE N/O COLIMA ROAD,02/02/2017 12:00:00 AM,Thu,3679,
WEDGEWORTH DRIVE E/O BORK AVENUE,02/02/2017 12:00:00 AM,Thu,4489,
SALAIS STREET E/O SANDALWOOD AVENUE,02/02/2017 12:00:00 AM,Thu,5533,
WEDGEWORTH DRIVE W/O BORK AVENUE,02/02/2017 12:00:00 AM,Thu,5654,
HACIENDA BOULEVARD S/O GLENMARK DRIVE,02/03/2017 12:00:00 AM,Fri,22277,
HACIENDA BOULEVARD N/O DEL PRADO DRIVE,02/03/2017 12:00:00 AM,Fri,35219,
HACIENDA BOULEVARD N/O SIGMAN STREET,02/03/2017 12:00:00 AM,Fri,38778,
HACIENDA BOULEVARD N/O REGALADO STREET,02/03/2017 12:00:00 AM,Fri,39396,
HACIENDA BOULEVARD N/O HALLIBURTON ROAD,02/03/2017 12:00:00 AM,Fri,44698,
HACIENDA BOULEVARD S/O GLENMARK DRIVE,02/04/2017 12:00:00 AM,Sat,19230,
HACIENDA BOULEVARD N/O DEL PRADO DRIVE,02/04/2017 12:00:00 AM,Sat,32630,
HACIENDA BOULEVARD N/O REGALADO STREET,02/04/2017 12:00:00 AM,Sat,37268,
HACIENDA BOULEVARD S/O GLENMARK DRIVE,02/05/2017 12:00:00 AM,Sun,15055,
HACIENDA BOULEVARD N/O DEL PRADO DRIVE,02/05/2017 12:00:00 AM,Sun,26798,
HACIENDA BOULEVARD N/O REGALADO STREET,02/05/2017 12:00:00 AM,Sun,31071,
FRANKTON AVENUE W/O GEMBROOK AVENUE,02/09/2017 12:00:00 AM,Thu,124,
GEMBROOK AVENUE N/O FRANKTON AVENUE,02/09/2017 12:00:00 AM,Thu,253,
GREENPORT AVENUE S/O MANDY STREET,02/09/2017 12:00:00 AM,Thu,521,
LAS LOMITAS DRIVE E/O VALLECITO DRIVE (S),02/09/2017 12:00:00 AM,Thu,2771,
NOGALES STREET N/O VILLA CLARA STREET,02/09/2017 12:00:00 AM,Thu,16434,
BREA CANYON CUTOFF ROAD S/O OAKLEAF CANYON ROAD,02/10/2017 12:00:00 AM,Fri,14942,
BREA CANYON CUTOFF ROAD S/O BALAN ROAD,02/10/2017 12:00:00 AM,Fri,17145,
BREA CANYON CUTOFF ROAD S/O SAND SPRING DRIVE,02/10/2017 12:00:00 AM,Fri,19782,
BREA CANYON CUTOFF ROAD S/O PATHFINDER ROAD,02/10/2017 12:00:00 AM,Fri,20556,
BREA CANYON CUTOFF ROAD S/O OAKLEAF CANYON ROAD,02/11/2017 12:00:00 AM,Sat,13095,
BREA CANYON CUTOFF ROAD S/O BALAN ROAD,02/11/2017 12:00:00 AM,Sat,13894,
BREA CANYON CUTOFF ROAD S/O SAND SPRING DRIVE,02/11/2017 12:00:00 AM,Sat,15916,
BREA CANYON CUTOFF ROAD S/O PATHFINDER ROAD,02/11/2017 12:00:00 AM,Sat,17238,
BREA CANYON CUTOFF ROAD S/O OAKLEAF CANYON ROAD,02/12/2017 12:00:00 AM,Sun,10347,
BREA CANYON CUTOFF ROAD S/O BALAN ROAD,02/12/2017 12:00:00 AM,Sun,10755,
BREA CANYON CUTOFF ROAD S/O SAND SPRING DRIVE,02/12/2017 12:00:00 AM,Sun,12651,
BREA CANYON CUTOFF ROAD S/O PATHFINDER ROAD,02/12/2017 12:00:00 AM,Sun,13918,
ALTERN STREET E/O REDELL AVENUE,02/13/2017 12:00:00 AM,Mon,431,
ALTERN STREET W/O REDELL AVENUE,02/13/2017 12:00:00 AM,Mon,895,
MADRE STREET S/O GRAYBURN ROAD,02/13/2017 12:00:00 AM,Mon,3937,
HURST STREET W/O LINDA TERRACE,02/14/2017 12:00:00 AM,Tue,482,
MEEKER AVENUE S/O FAIRGROVE AVENUE,02/14/2017 12:00:00 AM,Tue,625,
122ND STREET E/O WILLOWBROOK AVENUE,02/14/2017 12:00:00 AM,Tue,947,
122ND STREET E/O WILLOWBROOK AVENUE,02/14/2017 12:00:00 AM,Tue,948,
NEWBURGH STREET W/O HEATHDALE AVENUE,02/14/2017 12:00:00 AM,Tue,1561,
MADRE STREET S/O GRAYBURN ROAD,02/14/2017 12:00:00 AM,Tue,4608,
LARK ELLEN AVENUE N/O MAPLEGROVE STREET,02/14/2017 12:00:00 AM,Tue,6038,
LARK ELLEN AVENUE S/O FRANCISQUITO AVENUE,02/14/2017 12:00:00 AM,Tue,9198,
OVERDALE DRIVE N/O SUMMERHILL DRIVE,02/15/2017 12:00:00 AM,Wed,398,
OVERDALE DRIVE N/O SUMMERHILL DRIVE,02/15/2017 12:00:00 AM,Wed,398,
OVERDALE DRIVE N/O SUMMERHILL DRIVE,02/15/2017 12:00:00 AM,Wed,399,
HURST STREET W/O LINDA TERRACE,02/15/2017 12:00:00 AM,Wed,518,
GREENWOOD AVENUE E/O ROSEMEAD BOULEVARD,02/15/2017 12:00:00 AM,Wed,564,
MADRE STREET S/O GRAYBURN ROAD,02/15/2017 12:00:00 AM,Wed,4527,
CALIFORNIA AVENUE N/O PAMELA ROAD,02/15/2017 12:00:00 AM,Wed,7887,
CALIFORNIA AVENUE S/O SHRODE AVENUE,02/15/2017 12:00:00 AM,Wed,8915,
MANSFIELD AVENUE S/O SLAUSON AVENUE,02/21/2017 12:00:00 AM,Tue,574,
MOUNT VERNON DRIVE E/O PRESIDIO DRIVE,02/21/2017 12:00:00 AM,Tue,1616,
MOUNT VERNON DRIVE W/O PRESIDIO DRIVE,02/21/2017 12:00:00 AM,Tue,1651,
FAIRFAX AVENUE N/O 62ND STREET,02/21/2017 12:00:00 AM,Tue,8579,
WOOLWINE DRIVE E/O BONNIE BEACH PLACE,02/22/2017 12:00:00 AM,Wed,671,
DANGLER AVENUE S/O FISHER STREET,02/22/2017 12:00:00 AM,Wed,2224,
HAZARD AVENUE N/O SNOW DRIVE,02/22/2017 12:00:00 AM,Wed,5648,
HAZARD AVENUE S/O RAMBOZ DRIVE,02/22/2017 12:00:00 AM,Wed,5737,
HAZARD AVENUE N/O DOBINSON STREET,02/22/2017 12:00:00 AM,Wed,5868,
HAZARD AVENUE N/O FOLSOM STREET,02/22/2017 12:00:00 AM,Wed,6470,
CHADRON AVENUE N/O MARINE AVENUE,02/23/2017 12:00:00 AM,Thu,1472,
CITY TERRACE DRIVE E/O HICKS AVENUE,02/23/2017 12:00:00 AM,Thu,5908,
MARENGO STREET W/O DITMAN AVENUE,02/23/2017 12:00:00 AM,Thu,6417,
CITY TERRACE DRIVE S/O RAMBOZ DRIVE,02/23/2017 12:00:00 AM,Thu,9569,
CITY TERRACE DRIVE W/O HERBERT AVENUE,02/23/2017 12:00:00 AM,Thu,14825,
CHADRON AVENUE N/O MARINE AVENUE,02/24/2017 12:00:00 AM,Fri,1460,
1ST STREET W/O DICKERSON AVENUE,02/24/2017 12:00:00 AM,Fri,12014,
1ST STREET E/O BONNIE BEACH PLACE,02/24/2017 12:00:00 AM,Fri,12709,
1ST STREET E/O CARMELITA AVENUE,02/24/2017 12:00:00 AM,Fri,13264,
EASTERN AVENUE N/O EUGENE STREET,02/24/2017 12:00:00 AM,Fri,14499,
EASTERN AVENUE N/O MARIANNA AVENUE (S),02/24/2017 12:00:00 AM,Fri,21011,
EASTERN AVENUE N/O FLORAL DRIVE,02/24/2017 12:00:00 AM,Fri,21107,
EASTERN AVENUE S/O HAUCK STREET,02/24/2017 12:00:00 AM,Fri,21466,
CHADRON AVENUE N/O MARINE AVENUE,02/25/2017 12:00:00 AM,Sat,1229,
1ST STREET W/O DICKERSON AVENUE,02/25/2017 12:00:00 AM,Sat,9927,
EASTERN AVENUE N/O EUGENE STREET,02/25/2017 12:00:00 AM,Sat,10219,
1ST STREET E/O BONNIE BEACH PLACE,02/25/2017 12:00:00 AM,Sat,10408,
1ST STREET E/O CARMELITA AVENUE,02/25/2017 12:00:00 AM,Sat,10634,
EASTERN AVENUE N/O MARIANNA AVENUE (S),02/25/2017 12:00:00 AM,Sat,13567,
EASTERN AVENUE N/O FLORAL DRIVE,02/25/2017 12:00:00 AM,Sat,13792,
EASTERN AVENUE S/O HAUCK STREET,02/25/2017 12:00:00 AM,Sat,13824,
CHADRON AVENUE N/O MARINE AVENUE,02/26/2017 12:00:00 AM,Sun,1109,
EASTERN AVENUE N/O EUGENE STREET,02/26/2017 12:00:00 AM,Sun,7672,
1ST STREET W/O DICKERSON AVENUE,02/26/2017 12:00:00 AM,Sun,7786,
1ST STREET E/O BONNIE BEACH PLACE,02/26/2017 12:00:00 AM,Sun,7973,
1ST STREET E/O CARMELITA AVENUE,02/26/2017 12:00:00 AM,Sun,7982,
EASTERN AVENUE N/O MARIANNA AVENUE (S),02/26/2017 12:00:00 AM,Sun,9370,
EASTERN AVENUE N/O FLORAL DRIVE,02/26/2017 12:00:00 AM,Sun,9638,
EASTERN AVENUE S/O HAUCK STREET,02/26/2017 12:00:00 AM,Sun,9667,
HESTER AVENUE E/O COLE ROAD,02/28/2017 12:00:00 AM,Tue,284,
BREEZEWOOD AVENUE S/O WHITESPRING DRIVE,02/28/2017 12:00:00 AM,Tue,502,
BREEZEWOOD AVENUE S/O SILVERGROVE DRIVE,02/28/2017 12:00:00 AM,Tue,1031,
TOWNSEND AVENUE S/O 1ST STREET,02/28/2017 12:00:00 AM,Tue,1090,
TOWNSEND AVENUE N/O 1ST STREET,02/28/2017 12:00:00 AM,Tue,1383,
1ST STREET W/O TOWNSEND AVENUE,02/28/2017 12:00:00 AM,Tue,14364,
MYSTIC STREET E/O AMSDELL AVENUE,03/01/2017 12:00:00 AM,Wed,1414,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,03/01/2017 12:00:00 AM,Wed,3439,
CALMADA AVENUE S/O GLENN DRIVE,03/01/2017 12:00:00 AM,Wed,4299,
CALMADA AVENUE N/O BARKERVILLE AVENUE,03/01/2017 12:00:00 AM,Wed,4316,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,03/02/2017 12:00:00 AM,Thu,158,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,03/02/2017 12:00:00 AM,Thu,288,
AMBER VALLEY DRIVE E/O CLEARGLEN AVENUE,03/02/2017 12:00:00 AM,Thu,683,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,03/02/2017 12:00:00 AM,Thu,2150,
AMBER VALLEY DRIVE E/O GROVELAND AVENUE,03/02/2017 12:00:00 AM,Thu,2265,
HAWES STREET E/O VALLEY VIEW AVENUE,03/02/2017 12:00:00 AM,Thu,2716,
HAWES STREET W/O COLIMA ROAD,03/02/2017 12:00:00 AM,Thu,2720,
HAWES STREET E/O PARISE DRIVE (E),03/02/2017 12:00:00 AM,Thu,3617,
HAWES STREET W/O HOMAGE AVENUE,03/02/2017 12:00:00 AM,Thu,3897,
HAWES STREET W/O RUOFF AVENUE,03/02/2017 12:00:00 AM,Thu,4347,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,03/03/2017 12:00:00 AM,Fri,190,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,03/03/2017 12:00:00 AM,Fri,339,
AMBER VALLEY DRIVE E/O CLEARGLEN AVENUE,03/03/2017 12:00:00 AM,Fri,699,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,03/03/2017 12:00:00 AM,Fri,2209,
AMBER VALLEY DRIVE E/O GROVELAND AVENUE,03/03/2017 12:00:00 AM,Fri,2336,
HAWES STREET W/O COLIMA ROAD,03/03/2017 12:00:00 AM,Fri,2639,
HAWES STREET E/O VALLEY VIEW AVENUE,03/03/2017 12:00:00 AM,Fri,2642,
HAWES STREET E/O PARISE DRIVE (E),03/03/2017 12:00:00 AM,Fri,3462,
HAWES STREET W/O HOMAGE AVENUE,03/03/2017 12:00:00 AM,Fri,3667,
HAWES STREET W/O RUOFF AVENUE,03/03/2017 12:00:00 AM,Fri,3838,
VINELAND AVENUE N/O JUDITH STREET,03/03/2017 12:00:00 AM,Fri,6309,
VINELAND AVENUE N/O RATH STREET,03/03/2017 12:00:00 AM,Fri,7884,
VINELAND AVENUE S/O GIORDANO STREET,03/03/2017 12:00:00 AM,Fri,8720,
VINELAND AVENUE S/O TEMPLE AVENUE,03/03/2017 12:00:00 AM,Fri,12484,
VINELAND AVENUE N/O NELSON AVENUE,03/03/2017 12:00:00 AM,Fri,12697,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,03/04/2017 12:00:00 AM,Sat,191,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,03/04/2017 12:00:00 AM,Sat,381,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,03/04/2017 12:00:00 AM,Sat,408,
AMBER VALLEY DRIVE E/O CLEARGLEN AVENUE,03/04/2017 12:00:00 AM,Sat,568,
AMBER VALLEY DRIVE E/O GROVELAND AVENUE,03/04/2017 12:00:00 AM,Sat,1488,
HAWES STREET W/O COLIMA ROAD,03/04/2017 12:00:00 AM,Sat,1548,
HAWES STREET E/O VALLEY VIEW AVENUE,03/04/2017 12:00:00 AM,Sat,1554,
HAWES STREET E/O PARISE DRIVE (E),03/04/2017 12:00:00 AM,Sat,2257,
HAWES STREET W/O HOMAGE AVENUE,03/04/2017 12:00:00 AM,Sat,2591,
HAWES STREET W/O RUOFF AVENUE,03/04/2017 12:00:00 AM,Sat,2937,
VINELAND AVENUE N/O JUDITH STREET,03/04/2017 12:00:00 AM,Sat,5391,
VINELAND AVENUE N/O RATH STREET,03/04/2017 12:00:00 AM,Sat,7247,
VINELAND AVENUE S/O GIORDANO STREET,03/04/2017 12:00:00 AM,Sat,7780,
VINELAND AVENUE S/O TEMPLE AVENUE,03/04/2017 12:00:00 AM,Sat,11748,
VINELAND AVENUE N/O NELSON AVENUE,03/04/2017 12:00:00 AM,Sat,12663,
FIELDBROOK STREET S/O YELLOWBLUFF PLACE,03/05/2017 12:00:00 AM,Sun,151,
FIELDBROOK STREET N/O YELLOWBLUFF PLACE,03/05/2017 12:00:00 AM,Sun,255,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,03/05/2017 12:00:00 AM,Sun,393,
AMBER VALLEY DRIVE E/O CLEARGLEN AVENUE,03/05/2017 12:00:00 AM,Sun,443,
AMBER VALLEY DRIVE E/O GROVELAND AVENUE,03/05/2017 12:00:00 AM,Sun,1114,
HAWES STREET W/O COLIMA ROAD,03/05/2017 12:00:00 AM,Sun,1303,
HAWES STREET E/O VALLEY VIEW AVENUE,03/05/2017 12:00:00 AM,Sun,1318,
HAWES STREET E/O PARISE DRIVE (E),03/05/2017 12:00:00 AM,Sun,1931,
HAWES STREET W/O HOMAGE AVENUE,03/05/2017 12:00:00 AM,Sun,2142,
HAWES STREET W/O RUOFF AVENUE,03/05/2017 12:00:00 AM,Sun,2501,
VINELAND AVENUE N/O JUDITH STREET,03/05/2017 12:00:00 AM,Sun,4447,
VINELAND AVENUE N/O RATH STREET,03/05/2017 12:00:00 AM,Sun,6105,
VINELAND AVENUE S/O GIORDANO STREET,03/05/2017 12:00:00 AM,Sun,6805,
VINELAND AVENUE N/O NELSON AVENUE,03/05/2017 12:00:00 AM,Sun,9313,
VINELAND AVENUE S/O TEMPLE AVENUE,03/05/2017 12:00:00 AM,Sun,9664,
VANCOUVER AVENUE S/O BOSWELL PLACE,03/06/2017 12:00:00 AM,Mon,1528,
ACADEMY DRIVE S/O CARTESIAN CIRCLE,03/06/2017 12:00:00 AM,Mon,2051,
LOMA ALTA DRIVE W/O FAIR OAKS AVENUE,03/07/2017 12:00:00 AM,Tue,1886,
